game_label,n_agents,competition_key,competition_value,adversary_model,adversary_elo,run_count,adversary_utility_mean,adversary_utility_std,baseline_mean_utility_mean,baseline_mean_utility_std,mean_utility,consensus_rate
game1,2,comp=0.00,0.0,amazon-nova-micro-v1.0,1240.0,4,56.636,41.70248414663087,74.90275,25.454654392664615,65.769375,1.0
game1,2,comp=0.00,0.0,gpt-4o-mini-2024-07-18,1317.0,4,77.9945,25.597403273248897,83.9075,23.089295319115596,80.95100000000001,1.0
game1,2,comp=0.00,0.0,claude-sonnet-4-20250514,1389.0,4,100.0,0.0,100.0,0.0,100.0,1.0
game1,2,comp=0.00,0.0,gemini-2.5-pro,1448.0,4,100.0,0.0,94.75,10.5,97.375,1.0
game1,2,comp=0.00,0.0,gpt-5.4-high,1484.0,4,100.0,0.0,100.0,0.0,100.0,1.0
game1,2,comp=0.25,0.25,amazon-nova-micro-v1.0,1240.0,4,79.75,18.300728582946274,74.5,16.299284237863535,77.125,1.0
game1,2,comp=0.25,0.25,gpt-4o-mini-2024-07-18,1317.0,4,62.95,28.505145734293894,76.525,16.795907239562858,69.7375,1.0
game1,2,comp=0.25,0.25,claude-sonnet-4-20250514,1389.0,4,84.725,15.19766977752401,77.2,3.8505410875183053,80.9625,1.0
game1,2,comp=0.25,0.25,gemini-2.5-pro,1448.0,4,78.75,14.908051515875574,83.0,11.460075625114056,80.875,1.0
game1,2,comp=0.25,0.25,gpt-5.4-high,1484.0,4,80.275,10.212859540794632,84.225,9.114228802628704,82.25,1.0
game1,2,comp=0.50,0.5,amazon-nova-micro-v1.0,1240.0,4,66.6325,14.091967865892018,59.394999999999996,19.388865361335615,63.01375,1.0
game1,2,comp=0.50,0.5,gpt-4o-mini-2024-07-18,1317.0,4,50.05425,36.181658874582666,47.0285,33.81438425187324,48.541375,0.75
game1,2,comp=0.50,0.5,claude-sonnet-4-20250514,1389.0,4,65.7,11.688455843266896,66.825,10.271440989461995,66.2625,1.0
game1,2,comp=0.50,0.5,gemini-2.5-pro,1448.0,4,74.5,10.472185381603339,69.0,12.355835328567093,71.75,1.0
game1,2,comp=0.50,0.5,gpt-5.4-high,1484.0,4,77.6,12.991279126142024,70.225,3.7508887835640636,73.9125,1.0
game1,2,comp=0.75,0.75,amazon-nova-micro-v1.0,1240.0,4,64.5,16.98038083593337,53.75,3.7749172176353754,59.125,1.0
game1,2,comp=0.75,0.75,gpt-4o-mini-2024-07-18,1317.0,4,56.3275,15.377115843573094,61.245000000000005,13.283075698045238,58.78625,1.0
game1,2,comp=0.75,0.75,claude-sonnet-4-20250514,1389.0,4,63.96,15.578523678449121,55.3525,8.536452717610521,59.65625,1.0
game1,2,comp=0.75,0.75,gemini-2.5-pro,1448.0,4,69.55,7.651361534611554,57.125,5.105144464165534,63.3375,1.0
game1,2,comp=0.75,0.75,gpt-5.4-high,1484.0,4,62.975,9.859132821906806,62.55,10.178899744078432,62.7625,1.0
game1,2,comp=1.00,1.0,amazon-nova-micro-v1.0,1240.0,4,46.1995,13.626738457899604,42.0255,20.54758869064689,44.1125,1.0
game1,2,comp=1.00,1.0,gpt-4o-mini-2024-07-18,1317.0,4,25.585339485250003,29.148356369038048,19.861852989750005,15.247335749661367,22.723596237500004,0.75
game1,2,comp=1.00,1.0,claude-sonnet-4-20250514,1389.0,4,34.4284435575,16.081470084946034,28.921818667500002,12.286999609287498,31.6751311125,1.0
game1,2,comp=1.00,1.0,gemini-2.5-pro,1448.0,4,51.75,4.349329450233296,48.25,4.349329450233296,50.0,1.0
game1,2,comp=1.00,1.0,gpt-5.4-high,1484.0,4,40.14650625,18.04845888135114,45.63951875,7.538643905000834,42.8930125,1.0
game1,4,comp=0.00,0.0,amazon-nova-micro-v1.0,1240.0,4,75.0,50.0,91.66666666666667,16.666666666666664,87.5,1.0
game1,4,comp=0.00,0.0,gpt-4o-mini-2024-07-18,1317.0,4,100.0,0.0,100.0,0.0,100.0,1.0
game1,4,comp=0.00,0.0,claude-sonnet-4-20250514,1389.0,4,100.0,0.0,100.0,0.0,100.0,1.0
game1,4,comp=0.00,0.0,gemini-2.5-pro,1448.0,4,100.0,0.0,100.0,0.0,100.0,1.0
game1,4,comp=0.00,0.0,gpt-5.4-high,1484.0,4,100.0,0.0,100.0,0.0,100.0,1.0
game1,4,comp=0.25,0.25,amazon-nova-micro-v1.0,1240.0,4,61.75,23.20021551624036,58.583333333333336,7.8804728190541855,59.375,1.0
game1,4,comp=0.25,0.25,gpt-4o-mini-2024-07-18,1317.0,4,58.475,11.711924123160406,62.14166666666667,8.163531144103068,61.225,1.0
game1,4,comp=0.25,0.25,claude-sonnet-4-20250514,1389.0,4,62.725,26.598919150973042,63.7,4.949073987457991,63.45625,1.0
game1,4,comp=0.25,0.25,gemini-2.5-pro,1448.0,4,63.75,5.5,65.66666666666667,2.464563668090977,65.1875,1.0
game1,4,comp=0.25,0.25,gpt-5.4-high,1484.0,3,79.33333333333333,9.865765724632496,65.66666666666667,4.2557151116012335,69.08333333333333,1.0
game1,4,comp=0.50,0.5,amazon-nova-micro-v1.0,1240.0,4,29.2,16.597991846405193,48.56666666666666,4.800771542930094,43.725,1.0
game1,4,comp=0.50,0.5,gpt-4o-mini-2024-07-18,1317.0,4,42.35,27.033374434822843,41.041666666666664,3.8738797663898197,41.36875,1.0
game1,4,comp=0.50,0.5,claude-sonnet-4-20250514,1389.0,3,38.0,31.796226191169293,48.111111111111114,7.190528749939306,45.583333333333336,1.0
game1,4,comp=0.50,0.5,gemini-2.5-pro,1448.0,4,48.5,10.082988974836116,45.16666666666667,6.568725001714423,46.0,1.0
game1,4,comp=0.50,0.5,gpt-5.4-high,1484.0,1,61.0,,54.0,,55.75,1.0
game1,4,comp=0.75,0.75,amazon-nova-micro-v1.0,1240.0,3,13.0,11.269427669584644,39.166666666666664,4.437842318564782,32.625,1.0
game1,4,comp=0.75,0.75,gpt-4o-mini-2024-07-18,1317.0,4,19.475,13.1846817683755,32.80833333333334,4.395989333724803,29.475,1.0
game1,4,comp=0.75,0.75,claude-sonnet-4-20250514,1389.0,3,37.233333333333334,19.006928561272947,35.98888888888889,2.8868154952652794,36.300000000000004,1.0
game1,4,comp=0.75,0.75,gemini-2.5-pro,1448.0,4,39.55775,25.104444631379522,32.62416666666667,5.318803384638732,34.3575625,1.0
game1,4,comp=1.00,1.0,amazon-nova-micro-v1.0,1240.0,4,18.9175,20.688561050332464,24.610833333333332,6.9512713332273375,23.1875,1.0
game1,4,comp=1.00,1.0,gpt-4o-mini-2024-07-18,1317.0,4,25.357750000000003,28.13289782887643,20.955750000000002,8.790667338149023,22.05625,1.0
game1,4,comp=1.00,1.0,claude-sonnet-4-20250514,1389.0,4,29.75,19.379972480200617,23.416666666666664,6.459990826733541,25.0,1.0
game1,4,comp=1.00,1.0,gemini-2.5-pro,1448.0,4,24.540000000000003,12.507742242307362,20.636666666666667,2.1436974634529973,21.6125,1.0
game1,4,comp=1.00,1.0,gpt-5.4-high,1484.0,1,56.0,,14.666666666666666,,25.0,1.0
game1,6,comp=0.00,0.0,amazon-nova-micro-v1.0,1240.0,4,75.0,50.0,95.0,10.0,91.66666666666667,1.0
game1,6,comp=0.00,0.0,gpt-4o-mini-2024-07-18,1317.0,4,75.0,50.0,95.0,10.0,91.66666666666667,1.0
game1,6,comp=0.00,0.0,claude-sonnet-4-20250514,1389.0,2,100.0,0.0,90.0,14.142135623730951,91.66666666666666,1.0
game1,6,comp=0.00,0.0,gemini-2.5-pro,1448.0,4,100.0,0.0,100.0,0.0,100.0,1.0
game1,6,comp=0.00,0.0,gpt-5.4-high,1484.0,4,100.0,0.0,100.0,0.0,100.0,1.0
game1,6,comp=0.25,0.25,amazon-nova-micro-v1.0,1240.0,4,31.5,22.708295107001465,44.3,12.200000000000003,42.16666666666667,1.0
game1,6,comp=0.25,0.25,gpt-4o-mini-2024-07-18,1317.0,4,38.0,22.015146301277824,43.35,13.727223560016306,42.458333333333336,1.0
game1,6,comp=0.25,0.25,claude-sonnet-4-20250514,1389.0,3,52.333333333333336,4.72581562625261,51.46666666666667,2.9955522584881304,51.611111111111114,1.0
game1,6,comp=0.25,0.25,gemini-2.5-pro,1448.0,4,57.75,24.41823089414956,50.65,7.09060411154555,51.833333333333336,1.0
game1,6,comp=0.50,0.5,amazon-nova-micro-v1.0,1240.0,4,24.75,22.911059920192837,35.65,6.690042351634752,33.83333333333333,1.0
game1,6,comp=0.50,0.5,gpt-4o-mini-2024-07-18,1317.0,4,11.275,8.039641368452534,34.76,8.134928805261094,30.845833333333335,1.0
game1,6,comp=0.50,0.5,claude-sonnet-4-20250514,1389.0,3,50.0,19.313207915827967,31.666666666666668,5.262445565830902,34.72222222222222,1.0
