game_label,competition_key,competition_value,adversary_model,adversary_elo,run_count,adversary_utility_mean,adversary_utility_std,baseline_mean_utility_mean,baseline_mean_utility_std,mean_utility,consensus_rate
game1,comp=1.00,1.0,amazon-nova-micro-v1.0,1240.0,16,23.913625,20.334544062997825,23.056771825396826,15.8553000475375,23.4578125,1.0
game1,comp=1.00,1.0,gpt-4o-mini-2024-07-18,1317.0,17,18.31366811417647,20.601929988195018,16.129594727746966,9.103123259997195,17.043787350000002,0.9411764705882353
game1,comp=1.00,1.0,claude-sonnet-4-20250514,1389.0,17,23.889769072352944,16.661886205350758,17.99977154454715,10.250299705953212,19.51395241862745,1.0
game1,comp=1.00,1.0,gemini-2.5-pro,1448.0,20,24.90075,17.298965380912236,20.61928968253968,15.030621266532899,21.46375,1.0
game1,comp=1.00,1.0,gpt-5.4-high,1484.0,8,36.698253125,16.445208598286296,28.784441914682542,18.75587133922807,29.467339583333334,1.0
game2,"rho=-0.106, theta=0.20",-0.02123159024480273,amazon-nova-micro-v1.0,1240.0,4,78.13050000000001,16.137935049648288,68.01636111111111,5.028770956027852,69.02777499999999,1.0
game2,"rho=-0.106, theta=0.20",-0.02123159024480273,gpt-4o-mini-2024-07-18,1317.0,4,70.206,17.673326172512063,64.25494444444445,0.974414740456937,64.85005000000001,1.0
game2,"rho=-0.106, theta=0.20",-0.02123159024480273,claude-sonnet-4-20250514,1389.0,4,85.1225,12.761092886844242,70.4961111111111,2.849303503081915,71.95875000000001,1.0
game2,"rho=-0.106, theta=0.20",-0.02123159024480273,gemini-2.5-pro,1448.0,4,81.114575,11.486825058409314,59.32904722222223,7.639396078776503,61.5076,1.0
game2,"rho=-0.106, theta=0.80",-0.08492636097921091,amazon-nova-micro-v1.0,1240.0,4,63.0944125,5.5153413506290185,65.37091583333334,9.515545940868584,65.14326550000001,1.0
game2,"rho=-0.106, theta=0.80",-0.08492636097921091,gpt-4o-mini-2024-07-18,1317.0,4,69.716125,6.108898296406093,64.37322222222222,6.113582182557177,64.9075125,1.0
game2,"rho=-0.106, theta=0.80",-0.08492636097921091,claude-sonnet-4-20250514,1389.0,4,82.78625,7.33920678615884,70.93405555555556,5.110589903779119,72.119275,1.0
game2,"rho=-0.106, theta=0.80",-0.08492636097921091,gemini-2.5-pro,1448.0,4,71.063,13.408275777792362,64.70275000000001,7.594541204712917,65.338775,1.0
game2,"rho=-0.137, theta=0.20",-0.02730695838768222,amazon-nova-micro-v1.0,1240.0,4,72.3645,10.130651887547355,69.66775,3.1944991588432736,70.00484375,1.0
game2,"rho=-0.137, theta=0.20",-0.02730695838768222,gpt-4o-mini-2024-07-18,1317.0,4,69.57275,24.332133697027068,67.19985714285714,6.28804129329017,67.49646875,1.0
game2,"rho=-0.137, theta=0.20",-0.02730695838768222,claude-sonnet-4-20250514,1389.0,4,66.937,16.814710999597946,66.30528571428572,7.247485131733202,66.38425,1.0
game2,"rho=-0.137, theta=0.20",-0.02730695838768222,gemini-2.5-pro,1448.0,4,80.294325,7.739933300046364,63.97813214285714,8.092860647865209,66.01765625000002,1.0
game2,"rho=-0.137, theta=0.80",-0.10922783355072888,amazon-nova-micro-v1.0,1240.0,4,71.215,8.275024672672178,73.7625,2.5083434582931248,73.4440625,1.0
game2,"rho=-0.137, theta=0.80",-0.10922783355072888,gpt-4o-mini-2024-07-18,1317.0,4,69.96549999999999,5.840118805869164,70.56075,2.500864300596899,70.48634375,1.0
