game_label,n_agents,competition_key,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,2,comp=0.75,gemma-3-27b-it,Gemma 3 27B,1365,1,57.0,
game1,2,comp=0.75,claude-sonnet-4-20250514,Sonnet 4,1389,1,80.0,
game1,2,comp=0.75,deepseek-r1-0528,DeepSeek R1-0528,1422,1,65.0,
game1,2,comp=0.75,gemini-2.5-pro,Gemini 2.5 Pro,1448,1,56.0,
game1,2,comp=0.75,claude-opus-4-5-20251101,Opus 4.5,1468,1,71.0,
game1,2,comp=0.75,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,1,63.0,
game1,2,comp=0.75,gpt-5.4-high,GPT-5.4 High,1484,1,74.0,
game1,2,comp=1.00,amazon-nova-micro-v1.0,Nova Micro,1240,2,39.5,12.020815280171307
game1,2,comp=1.00,amazon-nova-pro-v1.0,Nova Pro,1290,1,22.0,
game1,2,comp=1.00,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,2,57.0,16.97056274847714
game1,2,comp=1.00,llama-3.3-70b-instruct,Llama 3.3 70B,1318,3,51.68000000000001,14.865638230496533
game1,2,comp=1.00,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,46.575,2.863782463805516
game1,2,comp=1.00,gpt-4o-2024-05-13,GPT-4o,1345,6,31.41,13.161481679507059
game1,2,comp=1.00,deepseek-v3,DeepSeek V3,1358,3,60.13333333333333,18.31538515383538
game1,2,comp=1.00,o3-mini-high,o3-mini-high,1363,1,65.7,
game1,2,comp=1.00,claude-sonnet-4-20250514,Sonnet 4,1389,5,50.61,10.155072624063305
game1,2,comp=1.00,claude-opus-4-5-20251101,Opus 4.5,1468,1,38.7,
game1,2,comp=1.00,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,1,61.2,
game1,2,comp=1.00,claude-opus-4-6,Opus 4.6,1499,1,51.300000000000004,
game1,4,comp=0.00,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,100.0,
game1,4,comp=0.00,command-r-plus-08-2024,Command R+,1276,1,100.0,
game1,4,comp=0.00,amazon-nova-pro-v1.0,Nova Pro,1290,2,100.0,0.0
game1,4,comp=0.00,llama-3.3-70b-instruct,Llama 3.3 70B,1318,1,100.0,
game1,4,comp=0.00,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,1,100.0,
game1,4,comp=0.00,o3-mini-high,o3-mini-high,1363,1,100.0,
game1,4,comp=0.00,gemma-3-27b-it,Gemma 3 27B,1365,1,100.0,
game1,4,comp=0.00,claude-sonnet-4-20250514,Sonnet 4,1389,2,100.0,0.0
game1,4,comp=0.00,deepseek-r1-0528,DeepSeek R1-0528,1422,1,100.0,
game1,4,comp=0.00,qwen3-max-preview,Qwen3 Max,1435,2,100.0,0.0
game1,4,comp=0.00,claude-opus-4-5-20251101,Opus 4.5,1468,2,100.0,0.0
game1,4,comp=0.00,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,1,100.0,
game1,4,comp=0.00,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,1,100.0,
game1,4,comp=0.00,gpt-5.4-high,GPT-5.4 High,1484,1,100.0,
game1,4,comp=0.00,claude-opus-4-6,Opus 4.6,1499,2,100.0,0.0
game1,4,comp=0.00,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,4,100.0,0.0
game1,4,comp=0.25,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,48.6,
game1,4,comp=0.25,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,3,48.666666666666664,22.03028218914441
game1,4,comp=0.25,llama-3.3-70b-instruct,Llama 3.3 70B,1318,1,73.0,
game1,4,comp=0.25,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,1,63.0,
game1,4,comp=0.25,deepseek-v3,DeepSeek V3,1358,1,54.9,
game1,4,comp=0.25,o3-mini-high,o3-mini-high,1363,2,64.0,15.556349186104045
game1,4,comp=0.25,gemma-3-27b-it,Gemma 3 27B,1365,2,65.5,0.7071067811865476
game1,4,comp=0.25,claude-sonnet-4-20250514,Sonnet 4,1389,1,57.0,
game1,4,comp=0.25,claude-haiku-4-5-20251001,Haiku 4.5,1407,1,74.7,
game1,4,comp=0.25,qwen3-max-preview,Qwen3 Max,1435,2,61.0,9.899494936611665
game1,4,comp=0.25,claude-opus-4-5-20251101,Opus 4.5,1468,1,58.5,
game1,4,comp=0.25,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,1,79.0,
game1,4,comp=0.25,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,1,64.0,
game1,4,comp=0.25,gpt-5.4-high,GPT-5.4 High,1484,1,77.0,
game1,4,comp=0.25,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,1,70.0,
game1,4,comp=0.50,amazon-nova-micro-v1.0,Nova Micro,1240,2,53.5,13.435028842544403
game1,4,comp=0.50,command-r-plus-08-2024,Command R+,1276,2,40.5,13.435028842544403
game1,4,comp=0.50,amazon-nova-pro-v1.0,Nova Pro,1290,2,55.6,17.536248173426376
game1,4,comp=0.50,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,2,26.5,14.849242404917497
game1,4,comp=0.50,llama-3.3-70b-instruct,Llama 3.3 70B,1318,2,59.0,8.48528137423857
game1,4,comp=0.50,deepseek-v3,DeepSeek V3,1358,3,54.333333333333336,16.441816606851365
game1,4,comp=0.50,o3-mini-high,o3-mini-high,1363,4,47.5,10.082988974836114
game1,4,comp=0.50,gemma-3-27b-it,Gemma 3 27B,1365,2,33.0,8.48528137423857
game1,4,comp=0.50,claude-sonnet-4-20250514,Sonnet 4,1389,2,58.400000000000006,16.404877323527902
game1,4,comp=0.50,qwen3-max-preview,Qwen3 Max,1435,2,44.0,4.242640687119285
game1,4,comp=0.50,claude-opus-4-5-20251101,Opus 4.5,1468,1,48.6,
game1,4,comp=0.50,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,2,49.5,6.363961030678928
game1,4,comp=0.50,claude-opus-4-6,Opus 4.6,1499,2,59.5,10.606601717798213
game1,4,comp=0.75,claude-3-haiku-20240307,Claude 3 Haiku,1260,2,25.0,19.79898987322333
game1,4,comp=0.75,command-r-plus-08-2024,Command R+,1276,1,18.0,
game1,4,comp=0.75,amazon-nova-pro-v1.0,Nova Pro,1290,2,38.2,8.202438661763955
game1,4,comp=0.75,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,1,31.5,
game1,4,comp=0.75,llama-3.3-70b-instruct,Llama 3.3 70B,1318,3,33.666666666666664,10.785793124908956
game1,4,comp=0.75,gpt-4o-2024-05-13,GPT-4o,1345,2,41.150000000000006,11.10157646462879
game1,4,comp=0.75,deepseek-v3,DeepSeek V3,1358,1,44.1,
game1,4,comp=0.75,o3-mini-high,o3-mini-high,1363,2,57.0,21.213203435596427
game1,4,comp=0.75,gemma-3-27b-it,Gemma 3 27B,1365,1,48.0,
game1,4,comp=0.75,claude-sonnet-4-20250514,Sonnet 4,1389,2,43.5,6.363961030678928
game1,4,comp=0.75,qwen3-max-preview,Qwen3 Max,1435,3,31.03333333333333,19.86714205247784
game1,4,comp=0.75,claude-opus-4-5-20251101,Opus 4.5,1468,2,40.0,1.4142135623730951
game1,4,comp=0.75,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,2,42.0,9.899494936611665
game1,4,comp=0.75,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,2,36.8,8.768124086713186
game1,4,comp=0.75,claude-opus-4-6,Opus 4.6,1499,1,36.0,
game1,4,comp=0.75,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,1,45.9,
game1,4,comp=1.00,amazon-nova-micro-v1.0,Nova Micro,1240,1,26.0,
game1,4,comp=1.00,llama-3.3-70b-instruct,Llama 3.3 70B,1318,1,24.3,
