competition_index,model,model_short,elo,avg_utility,num_runs
0.25,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,85.02699999999999,2
0.25,deepseek-r1-0528,DeepSeek R1-0528,1420.0,72.187655,4
0.25,qwen3-max-preview,Qwen3 Max,1435.0,86.67,2
0.25,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,65.4381,2
0.25,claude-opus-4-5-20251101,Opus 4.5,1467.0,81.092995,4
0.25,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,73.74600000000001,2
0.25,gpt-5.4-high,GPT-5.4 High,1485.0,84.886,2
0.25,gemini-3-pro,Gemini 3 Pro,1486.0,74.34355000000001,2
0.25,claude-opus-4-6,Opus 4.6,1503.0,89.58250000000001,4
0.5,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,57.387929410000005,4
0.5,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,66.957,4
0.5,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,66.511,4
0.5,amazon-nova-micro-v1.0,Nova Micro,1241.0,59.933425,4
0.5,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,69.23025,4
0.5,command-r-plus-08-2024,Command R+,1277.0,76.10749999999999,4
0.5,amazon-nova-pro-v1.0,Nova Pro,1290.0,76.8125,4
0.5,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,75.53857500000001,4
0.5,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,82.125,4
0.5,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,76.279,4
0.5,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,67.28275000000001,4
0.5,qwq-32b,QwQ-32B,1336.0,65.393125,4
0.5,gpt-4o-2024-05-13,GPT-4o,1346.0,72.55525,4
0.5,deepseek-v3,DeepSeek V3,1359.0,82.88716000000001,4
0.5,o3-mini-high,o3-mini-high,1364.0,71.46,3
0.5,gemma-3-27b-it,Gemma 3 27B,1366.0,66.248,4
0.5,claude-sonnet-4-20250514,Sonnet 4,1390.0,79.903,4
0.5,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,76.081095,4
0.5,deepseek-r1-0528,DeepSeek R1-0528,1420.0,74.758220375,8
0.5,qwen3-max-preview,Qwen3 Max,1435.0,77.51525000000001,4
0.5,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,83.73649999999999,4
0.5,claude-opus-4-5-20251101,Opus 4.5,1467.0,82.3968625,8
0.5,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,75.68575,4
0.5,gpt-5.4-high,GPT-5.4 High,1485.0,83.7285,4
0.5,gemini-3-pro,Gemini 3 Pro,1486.0,66.88812111905,4
0.5,claude-opus-4-6,Opus 4.6,1503.0,86.005,8
1.0,llama-3.2-1b-instruct,Llama 3.2 1B,1111.0,23.121000000000002,1
1.0,llama-3.2-3b-instruct,Llama 3.2 3B,1167.0,59.065,2
1.0,llama-3.1-8b-instruct,Llama 3.1 8B,1212.0,49.995,2
1.0,amazon-nova-micro-v1.0,Nova Micro,1241.0,57.39255000000001,2
1.0,claude-3-haiku-20240307,Claude 3 Haiku,1261.0,70.75999999999999,2
1.0,command-r-plus-08-2024,Command R+,1277.0,41.453998,2
1.0,amazon-nova-pro-v1.0,Nova Pro,1290.0,69.725,2
1.0,qwen2.5-72b-instruct,Qwen2.5 72B,1303.0,80.53,2
1.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1318.0,79.375,2
1.0,llama-3.3-70b-instruct,Llama 3.3 70B,1319.0,72.6255,2
1.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322.0,53.724999999999994,2
1.0,qwq-32b,QwQ-32B,1336.0,56.6225,2
1.0,gpt-4o-2024-05-13,GPT-4o,1346.0,67.63591000000001,2
1.0,deepseek-v3,DeepSeek V3,1359.0,45.37825670277,2
1.0,o3-mini-high,o3-mini-high,1364.0,35.629851672,2
1.0,gemma-3-27b-it,Gemma 3 27B,1366.0,41.616600000000005,2
1.0,claude-sonnet-4-20250514,Sonnet 4,1390.0,50.1435,2
1.0,claude-haiku-4-5-20251001,Haiku 4.5,1406.0,72.64950000000002,2
1.0,deepseek-r1-0528,DeepSeek R1-0528,1420.0,82.38387499999999,4
1.0,qwen3-max-preview,Qwen3 Max,1435.0,69.831,2
1.0,gemini-2.5-pro,Gemini 2.5 Pro,1449.0,82.3145,2
1.0,claude-opus-4-5-20251101,Opus 4.5,1467.0,81.35400000000001,4
1.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1481.0,78.696,2
1.0,gpt-5.4-high,GPT-5.4 High,1485.0,76.10780000000001,2
1.0,gemini-3-pro,Gemini 3 Pro,1486.0,53.84988000000001,2
1.0,claude-opus-4-6,Opus 4.6,1503.0,75.32485,4
