adversary_model,adversary_short,adversary_tier,competition_level,consensus_rate,final_round,utility_gap,adversary_stubbornness_proxy,adversary_repeat_rate,adversary_parse_failure_rate,adversary_all_items_rate
deepseek-v3,DeepSeek V3,Medium,0.9,1.0,4.5,-15.626783178500002,0.3194444444444444,0.5694444444444444,0.0,0.0
deepseek-v3,DeepSeek V3,Medium,0.95,1.0,3.5,8.748000000000003,0.3194444444444444,0.6666666666666666,0.0,0.0
deepseek-v3,DeepSeek V3,Medium,1.0,1.0,3.25,-24.7657205,0.1701388888888889,0.33333333333333337,0.0,0.0
gemini-2.5-pro,Gemini 2.5 Pro,Strong,0.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0
gemini-2.5-pro,Gemini 2.5 Pro,Strong,0.25,1.0,2.75,9.151921699999999,0.15029761904761904,0.14285714285714285,0.0,0.0
gemini-2.5-pro,Gemini 2.5 Pro,Strong,0.5,1.0,1.75,7.4825,0.1701388888888889,0.125,0.0,0.0
gemini-2.5-pro,Gemini 2.5 Pro,Strong,0.75,1.0,1.25,12.600000000000001,0.15625,0.0,0.0,0.0
gemini-2.5-pro,Gemini 2.5 Pro,Strong,0.9,1.0,1.0,8.0,0.125,0.0,0.0,0.0
gemini-2.5-pro,Gemini 2.5 Pro,Strong,0.95,1.0,1.25,13.0,0.15625,0.0,0.0,0.0
gemini-2.5-pro,Gemini 2.5 Pro,Strong,1.0,1.0,1.75,8.75,0.34375,0.5,0.0,0.0
gemini-3-pro,Gemini 3 Pro,Strong,0.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0
gemini-3-pro,Gemini 3 Pro,Strong,0.25,1.0,1.25,9.424999999999997,0.10069444444444445,0.0,0.0,0.0
gemini-3-pro,Gemini 3 Pro,Strong,0.5,1.0,1.25,23.025,0.21875,0.25,0.0,0.0
gemini-3-pro,Gemini 3 Pro,Strong,0.75,1.0,1.5,9.375000000000002,0.19444444444444445,0.25,0.0,0.0
gemini-3-pro,Gemini 3 Pro,Strong,0.9,1.0,1.75,0.41499999999999915,0.2326388888888889,0.375,0.0,0.0
gemini-3-pro,Gemini 3 Pro,Strong,0.95,1.0,1.5,13.82,0.10069444444444445,0.0,0.0,0.0
gemini-3-pro,Gemini 3 Pro,Strong,1.0,1.0,2.0,1.1500000000000004,0.1736111111111111,0.16666666666666666,0.0,0.0
gemma-3-27b-it,Gemma 3 27B,Medium,0.0,0.75,3.5,-9.333333333333334,0.22916666666666666,0.16666666666666666,0.0,0.0
gemma-3-27b-it,Gemma 3 27B,Medium,0.25,1.0,1.75,-6.452499999999999,0.13194444444444445,0.0,0.0,0.0
gemma-3-27b-it,Gemma 3 27B,Medium,0.5,0.75,4.25,-10.0301,0.2048611111111111,0.29166666666666663,0.0,0.0
gemma-3-27b-it,Gemma 3 27B,Medium,0.75,1.0,3.0,-2.9550217500000002,0.1284722222222222,0.08333333333333333,0.0,0.0
gemma-3-27b-it,Gemma 3 27B,Medium,0.9,1.0,1.75,1.6750000000000007,0.19444444444444445,0.25,0.0,0.0
gemma-3-27b-it,Gemma 3 27B,Medium,0.95,1.0,1.75,-14.775000000000002,0.13194444444444445,0.0,0.0,0.0
gemma-3-27b-it,Gemma 3 27B,Medium,1.0,1.0,2.0,-29.816000000000003,0.10416666666666667,0.08333333333333333,0.0,0.0
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,Medium,0.0,1.0,3.0,4.864410000000001,0.20902777777777778,0.1,0.041666666666666664,0.041666666666666664
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,Medium,0.25,1.0,1.25,-10.749999999999998,0.15625,0.0,0.0,0.0
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,Medium,0.5,1.0,1.0,-4.0,0.125,0.0,0.0,0.0
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,Medium,0.75,0.5,5.5,-8.5,0.29027777777777775,0.3611111111111111,0.025,0.025
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,Medium,0.9,0.75,4.0,-5.436333333333335,0.3111111111111111,0.4444444444444444,0.025,0.025
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,Medium,0.95,0.75,4.25,-2.699999999999998,0.4375,0.75,0.0,0.0
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,Medium,1.0,1.0,2.25,-34.375,0.1701388888888889,0.25,0.0,0.0
gpt-4o-2024-05-13,GPT-4o,Medium,0.0,1.0,1.25,0.0,0.15625,0.0,0.0,0.0
gpt-4o-2024-05-13,GPT-4o,Medium,0.25,1.0,1.25,6.700000000000001,0.21875,0.25,0.0,0.0
gpt-4o-2024-05-13,GPT-4o,Medium,0.5,1.0,1.75,-7.612500000000001,0.3125,0.5,0.0,0.0
gpt-4o-2024-05-13,GPT-4o,Medium,0.75,1.0,1.25,11.175,0.21875,0.25,0.0,0.0
gpt-4o-2024-05-13,GPT-4o,Medium,0.9,1.0,2.0,6.710000000000001,0.2638888888888889,0.375,0.0,0.0
gpt-4o-2024-05-13,GPT-4o,Medium,0.95,1.0,3.75,-6.457629749999999,0.1923611111111111,0.4083333333333333,0.0,0.0
gpt-4o-2024-05-13,GPT-4o,Medium,1.0,0.75,4.25,18.720666666666666,0.28125,0.4722222222222222,0.0,0.0
gpt-4o-mini-2024-07-18,GPT-4o mini,Medium,0.0,0.75,3.25,0.0,0.19791666666666666,0.16666666666666666,0.0,0.0
gpt-4o-mini-2024-07-18,GPT-4o mini,Medium,0.25,1.0,1.25,0.9500000000000011,0.10069444444444445,0.0,0.0,0.0
gpt-4o-mini-2024-07-18,GPT-4o mini,Medium,0.5,1.0,1.75,-10.8015,0.1423611111111111,0.16666666666666666,0.0,0.0
gpt-4o-mini-2024-07-18,GPT-4o mini,Medium,0.75,1.0,3.75,3.8364016299999992,0.3246527777777778,0.5625,0.0,0.0
gpt-4o-mini-2024-07-18,GPT-4o mini,Medium,0.9,1.0,3.25,-4.72493475,0.2326388888888889,0.25,0.0,0.0
gpt-4o-mini-2024-07-18,GPT-4o mini,Medium,0.95,0.75,3.5,9.299999999999999,0.3055555555555556,0.4722222222222222,0.0,0.0
gpt-4o-mini-2024-07-18,GPT-4o mini,Medium,1.0,1.0,1.75,-15.410000000000002,0.11458333333333334,0.125,0.0,0.0
gpt-5-nano-high,GPT-5-nano,Medium,0.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0
gpt-5-nano-high,GPT-5-nano,Medium,0.25,1.0,1.5,-10.5125,0.1875,0.125,0.0,0.0
gpt-5-nano-high,GPT-5-nano,Medium,0.5,1.0,1.25,12.950000000000001,0.10069444444444445,0.0,0.0,0.0
gpt-5-nano-high,GPT-5-nano,Medium,0.75,1.0,1.0,19.5,0.125,0.0,0.0,0.0
gpt-5-nano-high,GPT-5-nano,Medium,0.9,1.0,1.75,12.932500000000001,0.16319444444444445,0.125,0.0,0.0
gpt-5-nano-high,GPT-5-nano,Medium,0.95,1.0,1.25,-4.175000000000001,0.21875,0.25,0.0,0.0
gpt-5-nano-high,GPT-5-nano,Medium,1.0,1.0,4.75,5.541581395000001,0.12881944444444443,0.1125,0.0,0.0
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,Strong,0.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,Strong,0.25,1.0,1.25,-5.625,0.10069444444444445,0.0,0.0,0.0
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,Strong,0.5,1.0,1.5,5.9375,0.1388888888888889,0.125,0.0,0.0
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,Strong,0.75,1.0,1.0,16.5,0.125,0.0,0.0,0.0
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,Strong,0.9,1.0,2.25,-0.625,0.09027777777777778,0.125,0.0,0.0
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,Strong,0.95,1.0,1.25,13.45,0.21875,0.25,0.0,0.0
gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,Strong,1.0,1.0,3.0,-2.958,0.20833333333333331,0.375,0.0,0.0
gpt-5.4-high,GPT-5.4 High,Strong,0.0,1.0,1.25,0.0,0.21875,0.25,0.0,0.0
gpt-5.4-high,GPT-5.4 High,Strong,0.25,1.0,1.0,-3.25,0.125,0.0,0.0,0.0
gpt-5.4-high,GPT-5.4 High,Strong,0.5,1.0,1.25,4.900000000000002,0.21875,0.25,0.0,0.0
gpt-5.4-high,GPT-5.4 High,Strong,0.75,1.0,1.5,14.0,0.19444444444444445,0.25,0.0,0.0
gpt-5.4-high,GPT-5.4 High,Strong,0.9,1.0,1.25,8.5,0.10069444444444445,0.0,0.0,0.0
gpt-5.4-high,GPT-5.4 High,Strong,0.95,1.0,1.25,10.75,0.21875,0.25,0.0,0.0
gpt-5.4-high,GPT-5.4 High,Strong,1.0,1.0,3.0,-4.35305,0.2795138888888889,0.4375,0.0,0.0
llama-3.1-8b-instruct,Llama 3.1 8B,Weak,0.0,1.0,2.0,0.0,0.3458333333333333,0.125,0.4,0.4
llama-3.1-8b-instruct,Llama 3.1 8B,Weak,0.25,1.0,1.25,4.800000000000001,0.15625,0.0,0.0,0.0
llama-3.1-8b-instruct,Llama 3.1 8B,Weak,0.5,1.0,1.5,6.705000000000002,0.32291666666666663,0.0,0.3333333333333333,0.3333333333333333
llama-3.1-8b-instruct,Llama 3.1 8B,Weak,0.75,1.0,2.75,-8.02275,0.25069444444444444,0.25,0.05,0.05
llama-3.1-8b-instruct,Llama 3.1 8B,Weak,0.9,1.0,1.5,5.8999999999999995,0.19444444444444445,0.0,0.125,0.125
llama-3.1-8b-instruct,Llama 3.1 8B,Weak,0.95,1.0,1.75,-20.28525,0.1527777777777778,0.08333333333333333,0.0625,0.0625
llama-3.1-8b-instruct,Llama 3.1 8B,Weak,1.0,1.0,1.5,-50.985,0.13194444444444445,0.125,0.0,0.0
llama-3.2-1b-instruct,Llama 3.2 1B,Weak,0.0,1.0,2.0,-24.54635,0.3614583333333333,0.1875,0.4,0.4
llama-3.2-1b-instruct,Llama 3.2 1B,Weak,0.25,1.0,4.25,2.5788329999999995,0.3027281746031746,0.34285714285714286,0.3020833333333333,0.3020833333333333
llama-3.2-1b-instruct,Llama 3.2 1B,Weak,0.5,1.0,2.25,2.801824999999999,0.4121527777777778,0.1875,0.575,0.525
llama-3.2-1b-instruct,Llama 3.2 1B,Weak,0.75,0.75,3.25,17.666666666666668,0.6243055555555556,0.2222222222222222,0.825,0.825
llama-3.2-1b-instruct,Llama 3.2 1B,Weak,0.9,1.0,2.25,-7.7143375,0.3520833333333333,0.2,0.375,0.375
llama-3.2-1b-instruct,Llama 3.2 1B,Weak,0.95,0.5,6.5,-4.264650000000003,0.5329861111111112,0.5763888888888888,0.425,0.45
llama-3.2-1b-instruct,Llama 3.2 1B,Weak,1.0,0.5,5.5,-35.0,0.49583333333333335,0.3333333333333333,0.44999999999999996,0.44999999999999996
llama-3.2-3b-instruct,Llama 3.2 3B,Weak,0.0,1.0,1.0,-9.25,0.625,0.0,1.0,1.0
llama-3.2-3b-instruct,Llama 3.2 3B,Weak,0.25,1.0,1.0,-15.75,0.625,0.0,1.0,1.0
llama-3.2-3b-instruct,Llama 3.2 3B,Weak,0.5,1.0,1.25,-3.9750000000000005,0.71875,0.25,1.0,1.0
llama-3.2-3b-instruct,Llama 3.2 3B,Weak,0.75,1.0,1.25,11.75,0.59375,0.0,0.875,0.875
llama-3.2-3b-instruct,Llama 3.2 3B,Weak,0.9,0.5,5.5,-43.5,0.8125,0.5,1.0,1.0
llama-3.2-3b-instruct,Llama 3.2 3B,Weak,0.95,1.0,1.0,-0.25,0.625,0.0,1.0,1.0
llama-3.2-3b-instruct,Llama 3.2 3B,Weak,1.0,0.75,5.25,-29.620311473333334,0.8125,0.5,1.0,1.0
llama-3.3-70b-instruct,Llama 3.3 70B,Medium,0.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0
llama-3.3-70b-instruct,Llama 3.3 70B,Medium,0.25,1.0,1.0,1.25,0.125,0.0,0.0,0.0
llama-3.3-70b-instruct,Llama 3.3 70B,Medium,0.5,1.0,1.0,-3.25,0.125,0.0,0.0,0.0
llama-3.3-70b-instruct,Llama 3.3 70B,Medium,0.75,1.0,1.75,12.645000000000001,0.28125,0.375,0.0,0.0
llama-3.3-70b-instruct,Llama 3.3 70B,Medium,0.9,1.0,2.5,-3.532499999999999,0.2638888888888889,0.5,0.0,0.0
llama-3.3-70b-instruct,Llama 3.3 70B,Medium,0.95,1.0,2.75,8.086099999999998,0.24131944444444445,0.3125,0.0,0.0
llama-3.3-70b-instruct,Llama 3.3 70B,Medium,1.0,1.0,2.75,-3.150000000000002,0.1909722222222222,0.375,0.0,0.0
o3-mini-high,o3-mini-high,Medium,0.0,1.0,1.25,0.7250000000000014,0.21875,0.25,0.0,0.0
o3-mini-high,o3-mini-high,Medium,0.25,1.0,1.75,-8.275750000000002,0.15625,0.16666666666666666,0.0,0.0
o3-mini-high,o3-mini-high,Medium,0.5,1.0,1.5,21.2125,0.13194444444444445,0.125,0.0,0.0
o3-mini-high,o3-mini-high,Medium,0.75,1.0,1.25,12.725000000000001,0.15625,0.0,0.0,0.0
