game_label,competition_key,competition_value,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,comp=0.00,0.0,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,7,100.0,0.0
game1,comp=0.25,0.25,amazon-nova-micro-v1.0,Nova Micro,1240,6,62.01666666666667,11.591447996978925
game1,comp=0.25,0.25,claude-3-haiku-20240307,Claude 3 Haiku,1260,7,51.9,23.308010068071734
game1,comp=0.25,0.25,command-r-plus-08-2024,Command R+,1276,5,53.52,23.711853575796223
game1,comp=0.25,0.25,amazon-nova-pro-v1.0,Nova Pro,1290,6,51.5,10.425929215182693
game1,comp=0.25,0.25,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,8,52.5625,19.16365141913946
game1,comp=0.25,0.25,llama-3.3-70b-instruct,Llama 3.3 70B,1318,10,57.95,27.636982067110328
game1,comp=0.25,0.25,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,10,41.792029,20.89295658221181
game1,comp=0.25,0.25,gpt-5-nano-high,GPT-5-nano,1337,9,33.36826777777778,31.277530479648554
game1,comp=0.25,0.25,gpt-4o-2024-05-13,GPT-4o,1345,7,50.92857142857143,11.943577672500298
game1,comp=0.25,0.25,deepseek-v3,DeepSeek V3,1358,4,66.225,13.379181589320025
game1,comp=0.25,0.25,o3-mini-high,o3-mini-high,1363,9,59.56892731111111,14.215359719787363
game1,comp=0.25,0.25,gemma-3-27b-it,Gemma 3 27B,1365,8,59.5,17.714481565737596
game1,comp=0.25,0.25,claude-sonnet-4-20250514,Sonnet 4,1389,7,54.20142857142857,18.738481287243662
game1,comp=0.25,0.25,claude-haiku-4-5-20251001,Haiku 4.5,1407,6,56.949999999999996,14.854460609527363
game1,comp=0.25,0.25,deepseek-r1-0528,DeepSeek R1-0528,1422,6,65.8,17.84152459853137
game1,comp=0.25,0.25,qwen3-max-preview,Qwen3 Max,1435,7,61.285714285714285,4.835434682779674
game1,comp=0.25,0.25,gemini-2.5-pro,Gemini 2.5 Pro,1448,3,79.73333333333333,9.165878754016624
game1,comp=0.25,0.25,claude-opus-4-5-20251101,Opus 4.5,1468,6,63.86666666666667,16.32319413186851
game1,comp=0.25,0.25,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,3,62.89954756666666,20.590325154646965
game1,comp=0.25,0.25,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,4,63.25,15.56438241627338
game1,comp=0.25,0.25,gpt-5.4-high,GPT-5.4 High,1484,10,60.88899543,16.326525113665934
game1,comp=0.25,0.25,claude-opus-4-6,Opus 4.6,1499,10,62.15,25.562613759594736
game1,comp=0.25,0.25,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,7,65.57142857142857,12.313368654395418
game1,comp=0.50,0.5,amazon-nova-micro-v1.0,Nova Micro,1240,10,41.63,16.938257158148105
game1,comp=0.50,0.5,claude-3-haiku-20240307,Claude 3 Haiku,1260,7,35.29857142857143,13.61854180712388
game1,comp=0.50,0.5,command-r-plus-08-2024,Command R+,1276,4,41.944500000000005,15.556830900497273
game1,comp=0.50,0.5,amazon-nova-pro-v1.0,Nova Pro,1290,7,42.297192571428575,21.84146385749483
game1,comp=0.50,0.5,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,11,47.244090909090914,24.211655955157408
game1,comp=0.50,0.5,llama-3.3-70b-instruct,Llama 3.3 70B,1318,11,33.52727272727273,18.265820042313507
game1,comp=0.50,0.5,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,5,51.3,24.661305723744633
game1,comp=0.50,0.5,gpt-5-nano-high,GPT-5-nano,1337,6,41.16724850000001,8.41920578228811
game1,comp=0.50,0.5,gpt-4o-2024-05-13,GPT-4o,1345,2,49.900000000000006,8.343860018001266
