paper_run_id,paper_batch,source_root,experiment_family,game,n_agents,config_id,config_path,result_path,rollout_path,result_bytes,rollout_bytes,canonical_index
paper_run_5653,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0130,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0130.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_0p5/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_0p5/baseline_first/seed_2048/run_1_all_interactions.json,18652,76317,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5654,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0131,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0131.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_1p0/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_1p0/target_first/seed_2048/run_1_all_interactions.json,30101,146583,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5655,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0132,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0132.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_1p0/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/claude-sonnet-4-6/level_max/game1_comp_1p0/baseline_first/seed_2048/run_1_all_interactions.json,17435,73780,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5656,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0145,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0145.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_0p0/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_0p0/target_first/seed_2048/run_1_all_interactions.json,13770,63413,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5657,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0146,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0146.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_0p0/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_0p0/baseline_first/seed_2048/run_1_all_interactions.json,16680,71287,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5658,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0147,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0147.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_0p5/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_0p5/target_first/seed_2048/run_1_all_interactions.json,14926,66099,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5659,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0148,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0148.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_0p5/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_0p5/baseline_first/seed_2048/run_1_all_interactions.json,15379,69238,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5660,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0149,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0149.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_1p0/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_1p0/target_first/seed_2048/run_1_all_interactions.json,15759,67631,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5661,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0150,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0150.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_1p0/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_minimal/game1_comp_1p0/baseline_first/seed_2048/run_1_all_interactions.json,19131,78354,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5662,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0163,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0163.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_0p0/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_0p0/target_first/seed_2048/run_1_all_interactions.json,13317,62498,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5663,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0164,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0164.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_0p0/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_0p0/baseline_first/seed_2048/run_1_all_interactions.json,14098,66493,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5664,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0165,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0165.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_0p5/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_0p5/target_first/seed_2048/run_1_all_interactions.json,15307,65957,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5665,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0166,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0166.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_0p5/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_0p5/baseline_first/seed_2048/run_1_all_interactions.json,15884,69820,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5666,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0167,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0167.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_1p0/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_1p0/target_first/seed_2048/run_1_all_interactions.json,16160,68554,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5667,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0168,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0168.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_1p0/baseline_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_low/game1_comp_1p0/baseline_first/seed_2048/run_1_all_interactions.json,107518,574124,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
paper_run_5668,ttc,experiments/results/ttc_native_scaling_seed2048_20260727_043613,test_time_compute_comparable_complete_panels,game1,2,seed_2048_config_0181,experiments/results/ttc_native_scaling_seed2048_20260727_043613/configs/config_0181.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_medium/game1_comp_0p0/target_first/seed_2048/run_1_experiment_results.json,experiments/results/ttc_native_scaling_seed2048_20260727_043613/gemini-3-flash/level_medium/game1_comp_0p0/target_first/seed_2048/run_1_all_interactions.json,12882,61353,analysis/ttc_complete_family_seed_panels_20260810/run_level_complete_panels.csv
